"","gene_symbol","logFC","logCPM","PValue","FDR"
"MSTRG.10557|SSPN","MSTRG.10193|SLC2A3",-4.12136202029233,3.70854866686683,0.000186775545351151,0.0342759066767327
"MSTRG.1981|SELENOF","MSTRG.1019|SMIM12",-3.4556960954993,4.8370343514004,0.000229276895881844,0.0414991181546137
"MSTRG.3850|CFH","MSTRG.101|VWA1",-3.6119781417632,5.55436706419295,0.000236541987434359,0.0422355308104078
"MSTRG.37392|BMPR1B","MSTRG.10200|FOXJ2",-3.8972488084436,8.21629313459721,0.000242976101203171,0.0428059096693
"MSTRG.1359|RAD54L","MSTRG.10201|C3AR1",-5.4439085265678,3.15571643362066,0.000253305598252242,0.0434975268750704
"MSTRG.6601|GSTO1","MSTRG.10202|FAM66C",-8.08759491155891,2.96666413592794,0.000253485928205587,0.0434975268750704
"MSTRG.37145|RCHY1","MSTRG.10202|NECAP1",-3.6944847931868,4.0863174415194,0.000263919029117477,0.0445274456629604
"MSTRG.28825|FAP","MSTRG.10214|LINC00937",-3.46022871807738,4.74138686293216,0.000268809047452262,0.0445274456629604
"MSTRG.2196|DPH5","MSTRG.10235|RIMKLB",-8.05025032670216,2.93575095340378,0.000270409618910241,0.0445274456629604
"MSTRG.35760|MRPL47","MSTRG.10242|PHC1",-7.83941472366347,2.76153776362322,0.000272967766495103,0.0445274456629604
